Raw,Left 50,No %,,Address,Percent,Amount, ,ID,Amount,Cumulative %,Pareto,all,$10 or more,$50 or more,$100 or more
"0x8fB07b21383d331F3752A7590b0cfEAc85514A1F2,847.033 MobLP 1.0129%","0x8fB07b21383d331F3752A7590b0cfEAc85514A1F2,847.03","0x8fB07b21383d331F3752A7590b0cfEAc85514A1F2,847.033 MobLP 1.0129", ,0x8fB07b21383d331F3752A7590b0cfEAc85514A1F, 1.0129,"2,847.03", ,16,2847.03,85.01,80,2.29%,5.10%,9.47%,13.11%
"0x4fD95c6FA765e64eC9313E465F4D2B88Cbf8dEaa2,704.887 MobLP 0.9624%","0x4fD95c6FA765e64eC9313E465F4D2B88Cbf8dEaa2,704.88","0x4fD95c6FA765e64eC9313E465F4D2B88Cbf8dEaa2,704.887 MobLP 0.9624", ,0x4fD95c6FA765e64eC9313E465F4D2B88Cbf8dEaa, 0.9624,"2,704.88", ,17,2704.88,85.98,80,2.44%,5.41%,10.06%,13.93%
"0xa622af849a6e5D8C5755307E5FDE49aC02E4f28E2,232.199 MobLP 0.7942%","0xa622af849a6e5D8C5755307E5FDE49aC02E4f28E2,232.19","0xa622af849a6e5D8C5755307E5FDE49aC02E4f28E2,232.199 MobLP 0.7942", ,0xa622af849a6e5D8C5755307E5FDE49aC02E4f28E, 0.7942,"2,232.19", ,18,2232.19,86.77,80,2.58%,5.73%,10.65%,14.75%
"0x9F40632B505dC2c2AEbD61111350A6F3FDcdc9011,993.08 MobLP 0.7091%","0x9F40632B505dC2c2AEbD61111350A6F3FDcdc9011,993.08","0x9F40632B505dC2c2AEbD61111350A6F3FDcdc9011,993.08 MobLP 0.7091", ,0x9F40632B505dC2c2AEbD61111350A6F3FDcdc901, 0.7091,"1,993.08", ,19,1993.08,87.48,80,2.72%,6.05%,11.24%,15.57%
"0xDB4207f20ab4E765Dbc68a0A5b45aA50dAf82f6B1,018.284 MobLP 0.3623%","0xDB4207f20ab4E765Dbc68a0A5b45aA50dAf82f6B1,018.28","0xDB4207f20ab4E765Dbc68a0A5b45aA50dAf82f6B1,018.284 MobLP 0.3623", ,0xDB4207f20ab4E765Dbc68a0A5b45aA50dAf82f6B, 0.3623,"1,018.28", ,20,1018.28,87.84,80,2.87%,6.37%,11.83%,16.39%
"0xdA6473ee2dCE03D2A8a77D33B3a557Df3f31C2281,011.274 MobLP 0.3598%","0xdA6473ee2dCE03D2A8a77D33B3a557Df3f31C2281,011.27","0xdA6473ee2dCE03D2A8a77D33B3a557Df3f31C2281,011.274 MobLP 0.3598", ,0xdA6473ee2dCE03D2A8a77D33B3a557Df3f31C228, 0.3598,"1,011.27", ,21,1011.27,88.20,80,3.01%,6.69%,12.43%,17.21%
"0x690aA9Ef448de780f5e383f63808C7F0237D88d21,009.598 MobLP 0.3592%","0x690aA9Ef448de780f5e383f63808C7F0237D88d21,009.59","0x690aA9Ef448de780f5e383f63808C7F0237D88d21,009.598 MobLP 0.3592", ,0x690aA9Ef448de780f5e383f63808C7F0237D88d2, 0.3592,"1,009.59", ,22,1009.59,88.56,80,3.15%,7.01%,13.02%,18.03%
"0xD78fb850E668199F351D3C1ADd1BC1623B7373eB1,002.5 MobLP 0.3567%","0xD78fb850E668199F351D3C1ADd1BC1623B7373eB1,002.5 ","0xD78fb850E668199F351D3C1ADd1BC1623B7373eB1,002.5 MobLP 0.3567", ,0xD78fb850E668199F351D3C1ADd1BC1623B7373eB, 0.3567,"1,002.5 ", ,23,1002.5,88.92,80,3.30%,7.32%,13.61%,18.85%
0xf6842e34A04a42f48251e143AF75ed475451B287997.135756063188437808 MobLP 0.3548%,0xf6842e34A04a42f48251e143AF75ed475451B287997.1357,0xf6842e34A04a42f48251e143AF75ed475451B287997.135756063188437808 MobLP 0.3548, ,0xf6842e34A04a42f48251e143AF75ed475451B287, 0.3548,997.1357, ,24,997.1357,89.27,80,3.44%,7.64%,14.20%,19.67%
0x5863d07730d1A5522d19108D9010ecF46f8CD6FC996.173060741084206897 MobLP 0.3544%,0x5863d07730d1A5522d19108D9010ecF46f8CD6FC996.1730,0x5863d07730d1A5522d19108D9010ecF46f8CD6FC996.173060741084206897 MobLP 0.3544, ,0x5863d07730d1A5522d19108D9010ecF46f8CD6FC, 0.3544,996.1730, ,25,996.173,89.63,80,3.58%,7.96%,14.79%,20.49%
0xE971f568C6CfB436c88EA943E5DDe716D89a3b21978.826117079746676374 MobLP 0.3483%,0xE971f568C6CfB436c88EA943E5DDe716D89a3b21978.8261,0xE971f568C6CfB436c88EA943E5DDe716D89a3b21978.826117079746676374 MobLP 0.3483, ,0xE971f568C6CfB436c88EA943E5DDe716D89a3b21, 0.3483,978.8261, ,26,978.8261,89.97,80,3.72%,8.28%,15.38%,21.31%
0x271bc1d79A6cA300de99E634E0a0508fa1b0DdF9681.234762489638287793 MobLP 0.2424%,0x271bc1d79A6cA300de99E634E0a0508fa1b0DdF9681.2347,0x271bc1d79A6cA300de99E634E0a0508fa1b0DdF9681.234762489638287793 MobLP 0.2424, ,0x271bc1d79A6cA300de99E634E0a0508fa1b0DdF9, 0.2424,681.2347, ,27,681.2347,90.22,80,3.87%,8.60%,15.98%,22.13%
0x7393027CEeAFd38002260f46c57262fdB71d2887624.394735775487099825 MobLP 0.2222%,0x7393027CEeAFd38002260f46c57262fdB71d2887624.3947,0x7393027CEeAFd38002260f46c57262fdB71d2887624.394735775487099825 MobLP 0.2222, ,0x7393027CEeAFd38002260f46c57262fdB71d2887, 0.2222,624.3947, ,28,624.3947,90.44,80,4.01%,8.92%,16.57%,22.95%
0x5dF75F91Be011b6589c14c50c83Cbda9BA2c6AE0600.70412285557112214 MobLP 0.2137%,0x5dF75F91Be011b6589c14c50c83Cbda9BA2c6AE0600.7041,0x5dF75F91Be011b6589c14c50c83Cbda9BA2c6AE0600.70412285557112214 MobLP 0.2137, ,0x5dF75F91Be011b6589c14c50c83Cbda9BA2c6AE0, 0.2137,600.7041, ,29,600.7041,90.65,80,4.15%,9.24%,17.16%,23.77%
0x64977Acf5DeC2754D59f7fa7AE96cE564d969B85596.889241130075087615 MobLP 0.2124%,0x64977Acf5DeC2754D59f7fa7AE96cE564d969B85596.8892,0x64977Acf5DeC2754D59f7fa7AE96cE564d969B85596.889241130075087615 MobLP 0.2124, ,0x64977Acf5DeC2754D59f7fa7AE96cE564d969B85, 0.2124,596.8892, ,30,596.8892,90.86,80,4.30%,9.55%,17.75%,24.59%
0x402E9F43be4559f6488aD19CDF4E08e421063A2c550.227502066931123061 MobLP 0.1958%,0x402E9F43be4559f6488aD19CDF4E08e421063A2c550.2275,0x402E9F43be4559f6488aD19CDF4E08e421063A2c550.227502066931123061 MobLP 0.1958, ,0x402E9F43be4559f6488aD19CDF4E08e421063A2c, 0.1958,550.2275, ,31,550.2275,91.06,80,4.44%,9.87%,18.34%,25.41%
0xFB7CC4982E6B341D072B98c50295DA9cdA16F56E505.471770123847772868 MobLP 0.1798%,0xFB7CC4982E6B341D072B98c50295DA9cdA16F56E505.4717,0xFB7CC4982E6B341D072B98c50295DA9cdA16F56E505.471770123847772868 MobLP 0.1798, ,0xFB7CC4982E6B341D072B98c50295DA9cdA16F56E, 0.1798,505.4717, ,32,505.4717,91.24,80,4.58%,10.19%,18.93%,26.23%
0x7e68E3DD05f46a2BC783C362bC73576586fCC90D501.477735551205108381 MobLP 0.1784%,0x7e68E3DD05f46a2BC783C362bC73576586fCC90D501.4777,0x7e68E3DD05f46a2BC783C362bC73576586fCC90D501.477735551205108381 MobLP 0.1784, ,0x7e68E3DD05f46a2BC783C362bC73576586fCC90D, 0.1784,501.4777, ,33,501.4777,91.42,80,4.73%,10.51%,19.53%,27.05%
0x9c71787c5b5885e11F74af7E5Dc1324e87375a95500.515724539844683607 MobLP 0.1781%,0x9c71787c5b5885e11F74af7E5Dc1324e87375a95500.5157,0x9c71787c5b5885e11F74af7E5Dc1324e87375a95500.515724539844683607 MobLP 0.1781, ,0x9c71787c5b5885e11F74af7E5Dc1324e87375a95, 0.1781,500.5157, ,34,500.5157,91.60,80,4.87%,10.83%,20.12%,27.87%
0x6120D94987F84D48f252a372Fe0aC0BE8b0B0bB9499.768473938100659339 MobLP 0.1778%,0x6120D94987F84D48f252a372Fe0aC0BE8b0B0bB9499.7684,0x6120D94987F84D48f252a372Fe0aC0BE8b0B0bB9499.768473938100659339 MobLP 0.1778, ,0x6120D94987F84D48f252a372Fe0aC0BE8b0B0bB9, 0.1778,499.7684, ,35,499.7684,91.77,80,5.01%,11.15%,20.71%,28.69%
0xCe4e34d8473c93FBb81Ab670C60374A69a6A1533499.263710215430698013 MobLP 0.1776%,0xCe4e34d8473c93FBb81Ab670C60374A69a6A1533499.2637,0xCe4e34d8473c93FBb81Ab670C60374A69a6A1533499.263710215430698013 MobLP 0.1776, ,0xCe4e34d8473c93FBb81Ab670C60374A69a6A1533, 0.1776,499.2637, ,36,499.2637,91.95,80,5.16%,11.46%,21.30%,29.51%
0xC7aAF659409F1C6564E35CD4Bd481A52d3F30A81496.989565399610998746 MobLP 0.1768%,0xC7aAF659409F1C6564E35CD4Bd481A52d3F30A81496.9895,0xC7aAF659409F1C6564E35CD4Bd481A52d3F30A81496.989565399610998746 MobLP 0.1768, ,0xC7aAF659409F1C6564E35CD4Bd481A52d3F30A81, 0.1768,496.9895, ,37,496.9895,92.13,80,5.30%,11.78%,21.89%,30.33%
0xeED14C41a026d25aF8E6DD8F86937bc7DfAdBF57419.194637189040089399 MobLP 0.1491%,0xeED14C41a026d25aF8E6DD8F86937bc7DfAdBF57419.1946,0xeED14C41a026d25aF8E6DD8F86937bc7DfAdBF57419.194637189040089399 MobLP 0.1491, ,0xeED14C41a026d25aF8E6DD8F86937bc7DfAdBF57, 0.1491,419.1946, ,38,419.1946,92.28,80,5.44%,12.10%,22.49%,31.15%
0x0DB1F1bbF103d52395FbA2f747784dab8A660949402.659230092864737843 MobLP 0.1433%,0x0DB1F1bbF103d52395FbA2f747784dab8A660949402.6592,0x0DB1F1bbF103d52395FbA2f747784dab8A660949402.659230092864737843 MobLP 0.1433, ,0x0DB1F1bbF103d52395FbA2f747784dab8A660949, 0.1433,402.6592, ,39,402.6592,92.42,80,5.59%,12.42%,23.08%,31.97%
0x5615f2eE4319230FcdE4BF738C4D76988447D17b402.576766628346672736 MobLP 0.1432%,0x5615f2eE4319230FcdE4BF738C4D76988447D17b402.5767,0x5615f2eE4319230FcdE4BF738C4D76988447D17b402.576766628346672736 MobLP 0.1432, ,0x5615f2eE4319230FcdE4BF738C4D76988447D17b, 0.1432,402.5767, ,40,402.5767,92.56,80,5.73%,12.74%,23.67%,32.79%
0x57D407A587f5e7E8CeD8909e7D6C3b10c4CB287E402.565006381760961915 MobLP 0.1432%,0x57D407A587f5e7E8CeD8909e7D6C3b10c4CB287E402.5650,0x57D407A587f5e7E8CeD8909e7D6C3b10c4CB287E402.565006381760961915 MobLP 0.1432, ,0x57D407A587f5e7E8CeD8909e7D6C3b10c4CB287E, 0.1432,402.5650, ,41,402.565,92.71,80,5.87%,13.06%,24.26%,33.61%
0x410C7110EE8D5909bAd45AA1E31a05e7E935118b402.524393620879778307 MobLP 0.1432%,0x410C7110EE8D5909bAd45AA1E31a05e7E935118b402.5243,0x410C7110EE8D5909bAd45AA1E31a05e7E935118b402.524393620879778307 MobLP 0.1432, ,0x410C7110EE8D5909bAd45AA1E31a05e7E935118b, 0.1432,402.5243, ,42,402.5243,92.85,80,6.02%,13.38%,24.85%,34.43%
0x470BC6A390dBaD6DbaBE854eE37481f1FE553E3F402.473314772895810015 MobLP 0.1432%,0x470BC6A390dBaD6DbaBE854eE37481f1FE553E3F402.4733,0x470BC6A390dBaD6DbaBE854eE37481f1FE553E3F402.473314772895810015 MobLP 0.1432, ,0x470BC6A390dBaD6DbaBE854eE37481f1FE553E3F, 0.1432,402.4733, ,43,402.4733,92.99,80,6.16%,13.69%,25.44%,35.25%
0x8c3c24f5AFf229C7aa7Ba746fc8Ff43C30dc3132402.241410330777484546 MobLP 0.1431%,0x8c3c24f5AFf229C7aa7Ba746fc8Ff43C30dc3132402.2414,0x8c3c24f5AFf229C7aa7Ba746fc8Ff43C30dc3132402.241410330777484546 MobLP 0.1431, ,0x8c3c24f5AFf229C7aa7Ba746fc8Ff43C30dc3132, 0.1431,402.2414, ,44,402.2414,93.14,80,6.30%,14.01%,26.04%,36.07%
0xD05bb08b9ea331913749C1916c150447eB006D0B399.391536897241228896 MobLP 0.1421%,0xD05bb08b9ea331913749C1916c150447eB006D0B399.3915,0xD05bb08b9ea331913749C1916c150447eB006D0B399.391536897241228896 MobLP 0.1421, ,0xD05bb08b9ea331913749C1916c150447eB006D0B, 0.1421,399.3915, ,45,399.3915,93.28,80,6.45%,14.33%,26.63%,36.89%
0x164597E90B2bA7eE3d437449fC873a45f9B120c4399.275945338706611164 MobLP 0.1421%,0x164597E90B2bA7eE3d437449fC873a45f9B120c4399.2759,0x164597E90B2bA7eE3d437449fC873a45f9B120c4399.275945338706611164 MobLP 0.1421, ,0x164597E90B2bA7eE3d437449fC873a45f9B120c4, 0.1421,399.2759, ,46,399.2759,93.42,80,6.59%,14.65%,27.22%,37.70%
0x0995Cbe6358DcE67f7c2e89d7743811220A39b37356.170208364457097486 MobLP 0.1267%,0x0995Cbe6358DcE67f7c2e89d7743811220A39b37356.1702,0x0995Cbe6358DcE67f7c2e89d7743811220A39b37356.170208364457097486 MobLP 0.1267, ,0x0995Cbe6358DcE67f7c2e89d7743811220A39b37, 0.1267,356.1702, ,47,356.1702,93.55,80,6.73%,14.97%,27.81%,38.52%
